source	disposition	target_or_reason
a-blessed-notation-glyph-is-a-lexer-alias-not-an-operator-mandate-and-the-ascii-guarantee-is-impossible-when-the-ascii-form-is-a-keyword	DROP	one-off spec ruling about a single notation glyph; not generalizable beyond that decision
a-blocker-declared-in-neither-direction-renders-as-no-blockers	DROP	steward tracker-edge incident; covered loosely by extensive existing steward dependency-edge corpus
a-blocks-stated-trace-can-be-satisfiable-without-fixing-the-worse-defect-it-implies	DUP	agent/memory/fleet/a-pin-cannot-disagree-with-its-own-source.md
a-boundary-claim-needs-a-measurement-at-every-position-it-names	PROMOTE	new agent/memory/fleet/a-boundary-claim-needs-a-measurement-at-every-position-it-names.md
a-boundary-marker-names-a-region-not-a-function	DUP	agent/memory/CHECKS.md#4
a-branch-name-is-a-coordinate-and-git-log-never-reports-it	DUP	agent/memory/fleet/publish-a-coordinate-from-the-git-object-and-name-the-sha-you-read.md
a-bulk-field-insert-then-dedup-deletes-the-hand-authored-occurrence	DROP	narrow coding-mechanics incident (regex bulk-insert dedup); not broadly generalizable
a-by-construction-argument-about-early-returns-says-nothing-about-the-success-path	DUP	agent/memory/CHECKS.md#8
a-bypass-control-constructs-a-third-configuration	DROP	proposed for promotion, not taken: narrow mutation-control variant of the counterfactual family (CHECKS.md#8, roles/adversary)
a-byte-inertness-invariant-that-diverges-only-at-the-final-codegen-hash-is-codegen-consuming-a-planner-only-certificate	DROP	too specific to one Ken codegen-hash layering scheme
a-cadence-threshold-is-a-floor-on-when-to-ask-not-a-bar-on-answering-early	DROP	narrow one-WP cadence-counter incident; covered loosely by existing tripwire/threshold corpus
a-callers-cfg-gate-must-imply-its-callees-cfg-gate	DUP	agent/memory/fleet/a-p-scoped-run-and-cis-workspace-run-compile-different-feature-sets.md
a-campaign-roots-draft-status-is-a-node-kind-marker-not-a-work-state	DROP	steward tracker-status incident; covered loosely by existing steward node-status/lanes corpus
a-candidate-that-adds-a-file-to-an-indexed-corpus-is-reviewed-for-reachability-not-content	DUP	agent/memory/fleet/an-enumeration-needs-a-proven-closure-not-a-better-grep.md
a-candidate-that-is-not-landed-can-be-superseded-rather-than-owed	DUP	agent/memory/roles/steward/the-merge-tree-landed-test-reads-not-landed-for-a-candidate-that-landed-and-was-then-superseded.md
a-capability-reachable-at-a-layer-is-not-threaded-to-every-path-into-it	DUP	agent/memory/CHECKS.md#4
a-carried-resolved-fact-names-every-other-fact-that-must-travel-with-it	DUP	agent/memory/CHECKS.md#4
a-carry-forward-condition-stated-as-a-two-way-diff-between-tips-crosses-two-bases	DROP	narrow git base-drift incident; covered loosely by existing two-way-diff-direction corpus
a-catalog-abstract-adt-with-deferred-invariant-proofs-is-sound-by-recheck-iff-no-exported-prop-and-no-public-constructor-so-review-is-correct-core-plus-differential-and-structural-discrimination	DROP	extremely specific catalog-review methodology tied to one WP class
a-catalog-fuel-bounded-decidable-closure-predicate-is-sound-by-recheck-and-honest-deferral-so-review-is-bound-tightness-plus-no-faithfulness-theorem-plus-no-public-constructor	DROP	extremely specific catalog-review methodology tied to one WP class
a-catalog-laws-change-that-discharges-deferred-obligations-is-sound-by-recheck-when-no-postulate-and-laws-stay-private-so-review-is-read-statements-not-proofs-plus-privacy-plus-prose-honesty	DROP	extremely specific catalog-review methodology tied to one WP class
a-catalog-proof-suite-over-a-recursive-scan-is-self-covering-via-elaboration-and-its-only-silent-weakening-is-a-vacuous-ordering-predicate	DROP	extremely specific catalog-review methodology tied to one WP class
a-catalog-root-gaining-a-new-import-edge-can-red-the-seal2-producer-confinement-census	DROP	too specific to one catalog-migration incident (SEAL-2 census)
a-catalog-standalone-census-cannot-mask-a-missing-import-only-if-non-prelude-unresolved-names-route-to-residual	DROP	too specific to one catalog import-declaration increment
a-census-key-unique-per-process-is-not-unique-across-processes	DROP	narrow instrumentation gotcha (atomic counter across subprocesses); thinly generalizable
a-census-keyed-on-the-consumers-name-cannot-see-a-site-that-renames-it	DUP	agent/memory/CHECKS.md#3
a-census-of-corrections-counts-self-catches-and-misses-every-review-catch	DROP	single-episode attribution narrative; general point is a soft/subjective claim, hard to mechanize
a-census-whose-pattern-appears-in-prose-about-the-census-measures-the-literature	DROP	proposed for promotion, not taken: covered by fleet/a-guard-added-to-a-pattern-can-consume-the-token-the-pattern-searches-for.md (prose-mention anchoring)
a-cfg-test-reexport-is-a-production-only-red-the-test-profile-cannot-see	DUP	merged into promoted agent/memory/build/cargo-check-and-cargo-test-compile-different-code.md
a-check-described-as-closing-a-gap-usually-only-narrows-it-and-the-tell-is-an-absolute-word	DUP	agent/memory/fleet/a-claim-accurate-about-something-narrower-than-its-reader-infers.md
a-checkers-advertised-law-count-is-a-claim-not-a-guarantee	DUP	agent/playbooks/tools/pin-a-property.md#6a
a-child-with-no-identity-of-its-own-silently-exempts-itself-from-the-parent-child-law	DUP	agent/memory/CHECKS.md#5
a-ci-annotation-has-three-surfaces-and-two-of-them-lie	DUP	agent/memory/fleet/a-capped-list-is-a-sound-presence-oracle-and-a-broken-absence-oracle.md
a-claim-about-someone-elses-obligation-reads-as-reporting-so-it-skips-your-verification	DROP	one-off Steward self-correction narrative; verification-discipline point covered by CHECKS list
a-claim-can-attribute-an-outcome-by-possession-so-a-verb-keyed-sweep-cannot-see-it	DROP	narrow four-pass debugging narrative; grammatical-family sweep blind spot thinly generalizable on its own
a-claim-inherits-the-scope-of-the-site-you-checked-not-the-scope-you-stated	DUP	agent/memory/fleet/a-claim-accurate-about-something-narrower-than-its-reader-infers.md
a-classification-keyed-to-the-wrong-entity-gives-a-stable-wrong-answer	DUP	agent/memory/CHECKS.md#6
a-classification-scheme-can-forbid-the-only-action-that-satisfies-a-sibling-ac	DROP	narrow WP-framing incident; not one of the standing checks, thinly generalizable
a-classification-that-relieves-you-of-an-obligation-gets-more-scrutiny-not-less	PROMOTE	new agent/memory/fleet/a-classification-that-relieves-you-of-an-obligation-gets-more-scrutiny-not-less.md
a-clean-candidate-shows-either-the-hazard-was-never-real-or-someone-steered-around-it	DROP	narrow adversary trap-note-retraction incident; heavily narrative
a-clean-sweep-and-a-skipped-sweep-are-indistinguishable-in-the-artifact	DUP	agent/memory/fleet/an-enumeration-needs-a-proven-closure-not-a-better-grep.md
a-clearance-names-the-axes-it-covers	DUP	agent/memory/fleet/a-claim-accurate-about-something-narrower-than-its-reader-infers.md
a-closed-open-question-is-an-instruction-to-do-dead-work	DUP	agent/memory/fleet/a-later-note-saying-a-deliverable-is-false-does-not-replace-the-deliverable.md
a-closeout-of-a-withdrawn-investigation-is-clean-when-the-src-diff-is-comment-only-and-the-adjudicated-residual-is-recorded-not-called-safe	DUP	CHECKS.md#8
a-codex-seat-that-hits-its-weekly-limit-at-dispatch-strands-and-does-not-auto-resume-on-reset	DUP	agent/memory/roles/steward/a-stranded-delivery-is-corroborated-by-the-recipients-own-status.md
a-collateral-gate-removal-can-drop-a-specialized-case-check-the-carried-path-fix-never-mentions	DUP	CHECKS.md#2
a-command-that-waits-on-a-process-by-name-matches-its-own-shell-and-never-exits	DROP	narrow shell-scripting gotcha, superseded by Monitor/run_in_background tooling in current harness
a-comment-only-diff-is-not-a-safe-diff-doc-comments-compile	DUP	merged into promoted agent/memory/build/rust-comments-and-attributes-are-not-inert.md
a-complete-correct-census-can-answer-a-different-question-than-the-one-it-is-read-as-answering	DUP	agent/memory/fleet/repairing-a-census-completeness-does-not-re-aim-its-subject.md
a-completeness-gap-exposed-by-a-correct-fix-can-live-in-a-different-layer-and-tcb-status	DUP	agent/memory/teams/kernel/sct-completeness-fix-conservative-construction.md
a-concession-you-offer-gets-no-scrutiny-from-the-person-you-offer-it-to	DUP	agent/memory/fleet/a-wrong-correction-from-an-authority-seat-extracts-a-fabricated-confession.md
a-conclusion-that-survives-a-broken-premise-is-the-hardest-to-interrogate	DUP	agent/memory/roles/steward/a-nodes-status-is-a-claim-about-a-node-not-evidence-about-the-tree.md
a-condition-added-to-a-shared-predicate-belongs-to-only-one-of-its-consumers	DUP	CHECKS.md#5
a-conflicting-pr-never-gets-ci-and-the-check-suite-sits-queued-forever	DUP	agent/memory/fleet/a-stuck-required-check-is-not-slow-ci-and-rerunning-it-wedges-the-pr.md
a-conserved-total-is-evidence-of-no-net-change-and-offsetting-pairs-hide-exactly-there	DUP	CHECKS.md#6
a-consolidation-is-a-re-derivation-not-a-copy	DUP	CHECKS.md#1
a-constraint-can-be-practically-binding-for-a-reason-that-is-false	DUP	CHECKS.md#1
a-constructor-symbol-is-not-an-occurrence-selector	DUP	agent/memory/fleet/a-negative-check-passes-for-any-reason-so-it-needs-a-positive-control.md
a-consumer-that-runs-may-have-consumed-a-different-occurrence	DUP	CHECKS.md#2
a-contention-check-run-as-a-branch-scan-cannot-see-that-the-node-is-already-merged	DUP	agent/memory/roles/steward/a-nodes-status-is-a-claim-about-a-node-not-evidence-about-the-tree.md
a-control-can-prove-the-metadata-edge-while-claiming-the-operand-edge	DUP	agent/memory/fleet/a-negative-check-passes-for-any-reason-so-it-needs-a-positive-control.md
a-control-keyed-on-a-message-the-refactor-deleted-passes-vacuously	DUP	agent/memory/fleet/a-negative-check-passes-for-any-reason-so-it-needs-a-positive-control.md
a-control-pinned-to-an-exact-refusal-string-cannot-tell-the-guard-fell-from-the-guard-moved	DUP	agent/memory/fleet/a-negative-check-passes-for-any-reason-so-it-needs-a-positive-control.md
a-control-retirement-census-rot-merge-is-sound-when-deleted-bodies-were-dead-and-every-retirement-note-names-a-successor-that-exists-carries-the-property-and-executes	DUP	CHECKS.md#8
a-control-that-passes-unchanged-after-your-change-means-your-change-did-nothing	DUP	agent/memory/fleet/a-negative-check-passes-for-any-reason-so-it-needs-a-positive-control.md
a-control-that-reads-the-classifier-survives-the-mutation-that-reddens-every-behavioural-control	DUP	agent/memory/fleet/a-negative-check-passes-for-any-reason-so-it-needs-a-positive-control.md
a-control-that-reds-against-a-new-predicate-is-the-predicate-being-refuted	DUP	CHECKS.md#7
a-controls-discriminating-power-is-a-measurement-never-a-reading	DUP	agent/memory/fleet/a-negative-check-passes-for-any-reason-so-it-needs-a-positive-control.md
a-controls-population-is-a-claim-another-node-can-falsify-without-touching-the-control	DROP	proposed for promotion, not taken: CI-collision instance of CHECKS.md#6; one incident
a-convenience-glob-hides-dependency-edges-in-both-directions	DROP	proposed for promotion, not taken: single refactor incident; Rust module hygiene, not a recurring hazard
a-convo-mention-does-not-resume-a-freshly-compacted-claude-code-seat	DUP	agent/memory/fleet/a-seat-that-compacts-on-receiving-work-loses-the-work.md
a-convo-outage-has-two-shapes-and-only-a-two-transport-probe-separates-them	DUP	agent/memory/fleet/convo-space-not-active-is-really-the-10k-event-cap.md
a-coordinate-qualified-against-a-tree-other-than-the-readers-is-worse-than-a-bare-one	DUP	agent/memory/fleet/publish-a-coordinate-from-the-git-object-and-name-the-sha-you-read.md
a-coordinate-read-off-an-instrumented-tree-is-not-a-coordinate-in-the-tree	DUP	agent/memory/fleet/publish-a-coordinate-from-the-git-object-and-name-the-sha-you-read.md
a-coordinate-taken-from-a-dirty-tree-and-labelled-with-the-clean-sha	DUP	agent/memory/fleet/publish-a-coordinate-from-the-git-object-and-name-the-sha-you-read.md
a-coordinate-that-coincides-across-two-trees-is-right-by-accident	DUP	CHECKS.md#1
a-corpus-row-describes-when-it-was-written-not-what-the-tree-contains	DUP	agent/memory/roles/steward/a-nodes-status-is-a-claim-about-a-node-not-evidence-about-the-tree.md
a-correct-diagnosis-of-one-stall-makes-a-second-stall-underneath-it-read-as-expected	DUP	agent/memory/roles/steward/a-working-idle-grep-keyed-on-one-harnesses-footer-reports-false-idle-on-the-other.md
a-correct-impossibility-argument-can-be-scoped-to-the-representation-not-the-value	DUP	agent/memory/roles/adversary/attack-an-impossibility-claim-at-module-scope-not-only-the-signature.md
a-correct-lesson-compressed-into-a-standing-instruction-can-invert	DUP	CHECKS.md#1
a-correct-mechanism-over-strengthened-into-a-post-condition-manufactures-defects	DUP	CHECKS.md#8
a-correction-lands-on-the-artifact-but-not-on-the-belief	DUP	agent/memory/roles/steward/the-summary-generalizes-past-the-measurement-the-artifact-stated.md
a-correction-on-main-does-not-reach-a-candidate-cut-before-it	DUP	agent/memory/fleet/a-correction-on-main-does-not-reach-a-candidate-cut-before-it.md (checked-in copy current; no fold)
a-correction-that-applies-the-other-party-s-own-rule-needs-no-sign-off	DROP	single-incident interpersonal protocol note, not a generalizable technical lesson
a-correction-that-explains-away-your-correct-measurement-arrives-with-more-authority-than-the-measurement	DUP	agent/memory/fleet/a-wrong-correction-from-an-authority-seat-extracts-a-fabricated-confession.md
a-correction-to-an-enumeration-inherits-the-blind-spot-of-your-census	DUP	agent/memory/fleet/a-list-of-same-shape-guards-reads-as-complete-because-the-shape-is-what-made-them-findable.md
a-correctly-named-inseparability-predicate-can-still-mislocate-the-defect-a-capability-gap-masquerades-as-a-decomposition-dependency	DROP	single-WP architect design-defect-location heuristic, too incident-specific to generalize
a-count-can-be-the-exact-inverse-of-the-property-when-the-honest-label-is-a-string-field	DUP	agent/memory/build/a-check-that-measures-a-proxy-passes-for-the-wrong-reason.md
a-count-handed-to-you-inside-a-correction-borrows-its-authority-its-method-does-not	DUP	agent/memory/fleet/an-injected-finding-is-a-change-request-and-the-least-resisted-one.md
a-count-is-a-proxy-and-a-compensating-duplicate-beats-it	DUP	agent/memory/build/a-check-that-measures-a-proxy-passes-for-the-wrong-reason.md
a-counter-at-the-call-site-measures-the-loop-not-the-call	DUP	agent/memory/fleet/a-negative-check-passes-for-any-reason-so-it-needs-a-positive-control.md
a-counter-keyed-on-one-event-class-is-blind-to-another-that-causes-the-same-failure	DUP	CHECKS.md#2
a-counter-with-no-per-attempt-reset-cannot-distinguish-a-stale-success-from-the-outcome-you-want	DUP	agent/memory/fleet/a-negative-check-passes-for-any-reason-so-it-needs-a-positive-control.md
a-coverage-claim-about-a-neighbour-control-must-be-mutated-not-asserted	DUP	agent/memory/fleet/a-negative-check-passes-for-any-reason-so-it-needs-a-positive-control.md
a-credential-in-your-own-home-directory-can-belong-to-someone-else	PROMOTE	new agent/memory/fleet/a-credential-in-your-own-home-directory-can-belong-to-someone-else.md
a-criterion-that-rejects-one-option-must-be-run-against-the-one-you-are-choosing	DUP	CHECKS.md#7
a-ctx-scan-that-greps-the-pane-buffer-matches-ctx-numbers-you-quoted-in-a-post	DUP	agent/memory/roles/steward/a-ctx-scan-greps-your-own-report-of-another-seats-ctx.md
a-currency-guard-must-be-keyed-on-the-ref-its-own-measurement-is-taken-at	DUP	agent/memory/fleet/publish-a-coordinate-from-the-git-object-and-name-the-sha-you-read.md
a-dated-heading-dates-the-observation-not-the-instruction-under-it	DUP	agent/memory/fleet/a-later-note-saying-a-deliverable-is-false-does-not-replace-the-deliverable.md
a-dead-code-oracle-is-spent-by-the-commit-that-clears-it	DUP	CHECKS.md#8
a-debt-rows-owner-column-can-name-a-successor-that-was-never-filed	DUP	CHECKS.md#4
a-decision-fork-can-omit-the-outcome-an-inert-instrument-produces	DUP	agent/memory/roles/adversary/suppressing-a-row-can-empty-a-whole-named-gate.md
a-decision-is-mutated-in-place-so-reading-the-object-is-not-enough	DROP	narrow instance of extensively-covered stale-read/mutable-record-no-version genre
a-declared-commit-count-that-undercounts-makes-a-whole-deliverable-absent-from-review	DUP	agent/memory/fleet/a-review-range-of-sha-caret-to-sha-reads-only-the-last-commit-and-the-scope-check-agrees.md
a-decomposition-table-row-can-be-ahead-of-its-semantic-warrant-and-the-ownership-map-not-the-census-decides	DROP	one-off closed campaign-slice ruling (RT-BACKEND-MODULE-SPLIT item 17), too specific
a-decoration-only-edit-can-falsify-a-nearby-untouched-claim	DUP	agent/memory/fleet/a-new-criterion-is-applied-forward-and-never-swept-backward-over-the-document-that-states-it.md
a-defect-spanning-two-nodes-has-a-half-owned-by-nobody	DROP	specific tracker-node-ownership instance, covered loosely by node/witness genre
a-deferral-annotation-can-be-present-and-cite-the-right-ac-yet-be-structurally-inert	DUP	agent/memory/roles/adversary/suppressing-a-row-can-empty-a-whole-named-gate.md
a-deferral-rules-precondition-is-a-state-not-the-label-on-the-artifact	DROP	specific do-not-respin fleet-rule instance, narrow lane governance
a-deleted-guard-can-be-the-only-enforcement-of-a-second-thing-nobody-named	PROMOTE	new agent/memory/fleet/a-deleted-guard-can-be-the-only-enforcement-of-a-second-thing-nobody-named.md
a-denominator-you-did-not-choose-is-an-artifact-of-the-harness-not-a-population	DUP	CHECKS.md#6
a-dependency-graph-answers-only-about-the-objects-it-contains	DUP	CHECKS.md#5
a-derived-value-trusted-at-its-type-was-never-traced-to-its-producer	DROP	proposed for promotion, not taken: covered by fleet/grep-the-producer-not-the-cited-proxy.md
a-design-fork-arm-that-derives-the-expected-child-model-from-the-actual-occurrences-collapses-two-authorities-and-makes-the-cross-check-vacuous	DROP	one-off architecture design-fork ruling for one Ken feature, too specific
a-design-review-of-a-law-adding-commit-must-audit-populations-not-read-laws	DUP	agent/memory/fleet/a-design-review-reads-laws-one-at-a-time-and-cannot-see-a-law-whose-two-sides-range-over-different-populations.md
a-detector-that-caught-every-known-failure-can-still-be-under-scoped	DUP	CHECKS.md#3
a-diagnostic-string-interned-into-a-content-addressed-arena-shifts-every-later-span	DROP	specific compiler-instrumentation caveat, covered loosely by stale/opaque-coordinate genre
a-diff-hunk-header-is-not-a-coordinate	DUP	agent/memory/roles/adversary/a-context-flag-multiplies-lines-per-match-so-head-drops-matches.md
a-diff-relative-offset-under-a-site-heading-resolves-in-no-tree-at-all	DUP	agent/memory/roles/adversary/a-context-flag-multiplies-lines-per-match-so-head-drops-matches.md
a-differential-over-an-aggregate-passes-while-one-of-n-contributors-defects	DUP	agent/memory/fleet/a-differential-over-an-aggregate-is-an-existential-not-a-universal.md
a-directed-audit-request-reads-as-coverage-and-hides-its-own-complement	DUP	CHECKS.md#3
a-discharged-checkpoints-text-is-still-operative-if-a-reader-would-build-from-it	DUP	agent/memory/fleet/a-later-note-saying-a-deliverable-is-false-does-not-replace-the-deliverable.md
a-discriminator-can-be-refused-by-a-sibling-clause-of-the-same-guard	DROP	narrow mutation-testing footgun, covered loosely by discriminator/control genre
a-disk-instrument-is-structurally-blind-to-a-tmpfs-and-tmp-is-ram	DUP	agent/memory/fleet/the-agent-scratchpad-is-tmpfs-so-every-byte-you-write-there-is-ram.md
a-dispatch-guard-can-check-shape-and-not-membership-so-a-totality-claim-fails-on-the-foreign-case	DUP	CHECKS.md#5
a-disposition-robust-verdict-stops-anyone-from-checking-the-numbers-that-feed-it	DUP	agent/memory/roles/adversary/an-error-in-the-safe-direction-is-a-claim-about-what-you-did-not-measure.md
a-divergence-fix-converts-the-admission-gate-and-leaves-the-eliminator-sibling-with-the-identical-normalize-before-occurs	DUP	CHECKS.md#3
a-divergence-in-one-function-does-not-generalize-to-a-sibling-you-never-opened	DUP	CHECKS.md#3
a-doc-comment-is-not-inert-an-indented-block-inside-a-module-header-is-a-compiled-doctest	DUP	merged into promoted agent/memory/build/rust-comments-and-attributes-are-not-inert.md
a-documented-limit-is-not-a-discharged-claim	DUP	agent/memory/fleet/narrowing-a-counts-scope-never-turns-a-tally-into-a-pairing.md
a-fail-closed-default-and-a-measurement-are-the-same-symbol-carrying-opposite-information	DUP	CHECKS.md#8
a-fail-closed-default-and-a-measurement-are-the-same-symbol	DUP	CHECKS.md#8
a-fail-closed-residual-must-name-a-guard-on-the-path-the-value-actually-takes	DUP	CHECKS.md#2
a-fail-fast-oracle-reports-a-lower-bound-on-a-class-never-its-size	DUP	agent/memory/fleet/an-enumeration-needs-a-proven-closure-not-a-better-grep.md
a-failed-ci-job-log-reads-as-unavailable-when-it-is-only-escape-sequences	DROP	specific gh-cli technical gotcha, covered loosely by instrument-availability genre
a-failed-publisher-merge-leaves-an-orphan-pr-that-every-later-check-greens-over	DUP	agent/memory/fleet/a-stuck-required-check-is-not-slow-ci-and-rerunning-it-wedges-the-pr.md
a-failing-test-that-is-an-authored-detector-is-a-measurement-not-collateral	DUP	agent/playbooks/build/qa-test-design.md
a-fails-again-trigger-cannot-tell-a-working-gate-from-a-failing-seat	DROP	specific reseat-trigger incident, narrow fleet-lane governance
a-failure-list-keyed-on-bare-test-names-is-ambiguous-across-binaries	DROP	specific test-name-collision-across-binaries gotcha, covered loosely
a-faithful-conformance-seed-can-freeze-a-design-defect	DUP	agent/memory/fleet/freezing-a-canonical-form-name-the-ambiguity-that-would-have-stopped-you.md
a-faithfulness-ruling-on-duplicated-text-is-voided-by-any-edit-to-that-text	DROP	specific QA-fixture ruling, covered loosely by correction/edit-scope genre
a-falsification-condition-needs-its-own-positive-control	DUP	agent/memory/fleet/a-negative-check-passes-for-any-reason-so-it-needs-a-positive-control.md
a-falsifier-that-names-a-search-target-returns-the-first-thing-shaped-like-it	DROP	specific architecture-review incident, covered loosely by falsifier/positive-control genre
a-fast-paths-soundness-can-be-inductive-on-the-property-you-are-repairing	DUP	CHECKS.md#2
a-feature-gate-in-one-crate-cannot-gate-a-call-site-in-another	DUP	agent/memory/fleet/a-p-scoped-run-and-cis-workspace-run-compile-different-feature-sets.md
a-fence-on-your-conclusion-is-not-a-fence-on-your-method	DROP	proposed for promotion, not taken: covered by the hedge lesson now promoted and CHECKS.md#8
a-field-named-for-a-population-must-be-traced-to-its-producer-before-you-trust-it-ranges-over-that-population	DROP	restates this batch's own a-derived-value-trusted-at-its-type mechanism, redundant with sibling
a-filter-keyed-on-a-name-cannot-see-the-case-that-omits-the-name	DROP	proposed for promotion, not taken: covered by fleet/a-capped-list-is-a-sound-presence-oracle-and-a-broken-absence-oracle.md and CHECKS.md#10
a-first-hand-scope-error-passes-the-did-you-measure-or-carry-it-check	DROP	narrow scope-vs-provenance distinction, covered loosely by scope-measurement genre
a-fix-covering-a-category-needs-a-structural-closure-not-hand-enumeration	DUP	agent/memory/fleet/an-enumeration-needs-a-proven-closure-not-a-better-grep.md
a-fixed-input-that-states-a-conclusion-without-its-ground-hands-on-the-wrong-ground	DUP	CHECKS.md#4
a-fixture-can-satisfy-its-acceptance-relation-and-be-invisible-to-the-consumer	DUP	CHECKS.md#5
a-fixture-that-builds-one-occurrence-cannot-tell-routes-elsewhere-from-path-is-dead	DUP	CHECKS.md#6
a-fixture-that-cycles-variants-gives-no-same-variant-nesting	DUP	CHECKS.md#9
a-fleet-outage-can-be-platform-partitioned-and-only-a-pane-census-sees-it	PROMOTE	new agent/memory/roles/steward/a-fleet-outage-can-be-platform-partitioned-and-only-a-pane-census-sees-it.md
a-fleet-participant-status-is-last-set-never-refreshed-not-a-live-owed-signal-verify-your-own-event-in-the-log-before-recasting	DROP	specific convo-status-staleness incident, largely absorbed by this batch's own pane-census file
a-fleet-wide-broadcast-with-no-mentions-wakes-nobody	DUP	agent/memory/fleet/mention-discipline.md
a-footer-counter-drop-is-not-evidence-of-a-turn-boundary	DROP	narrow pane-footer incident, self-corrected within file, covered loosely
a-foreground-long-test-holding-the-shared-serialized-build-lock-deadlocks-a-priority-lane-and-a-futex-wait-is-not-a-hang	DUP	agent/memory/build/timeout-does-not-kill-grandchild-cargo-test.md
a-fork-can-be-a-measurement-and-two-horns-can-share-the-predicate-a-control-keys-on	DROP	proposed for promotion, not taken: covered by CHECKS.md#8 (name what the failing configuration produces)
a-frame-can-carry-a-stale-held-claim-about-its-own-release-gate	DUP	agent/memory/fleet/a-later-note-saying-a-deliverable-is-false-does-not-replace-the-deliverable.md
a-frame-can-forbid-the-only-path-to-its-own-checkpoint-by-stating-an-end-state-property	DROP	single-WP narrative (RT-WORKER-BIND/RT-RECURSOR-TRANSPORT), too incident-specific
a-frame-can-order-an-increments-control-before-the-increment-that-makes-it-constructible	DROP	single-WP circular-gate-behind-feature-flag narrative
a-frame-can-pin-a-deliverable-to-a-cfg-test-accessor	DUP	agent/memory/roles/steward/frame-must-ground-substrate-obligations-not-just-names.md
a-frame-can-pin-against-a-derivation-not-a-number	DROP	single-WP anchor-staleness narrative, mechanism generic already covered
a-frame-can-specify-the-new-units-contract-and-be-silent-on-what-the-old-one-must-stop-doing	DROP	single-WP migration narrative, too incident-specific
a-frame-is-not-the-work-package-so-it-does-not-get-the-wp-branch-name	DROP	single Ken branch-naming procedural incident
a-frame-read-from-your-worktree-returns-the-base-copy-not-the-amended-one	DUP	agent/memory/fleet/a-correction-on-main-does-not-reach-a-candidate-cut-before-it.md
a-frame-with-no-tracker-node-is-equally-consistent-with-done	DUP	agent/memory/roles/steward/a-nodes-status-is-a-claim-about-a-node-not-evidence-about-the-tree.md
a-frames-banned-scope-can-forbid-the-only-way-to-discharge-its-own-ac	DUP	agent/memory/fleet/an-acceptance-property-listing-forbidden-verbs-permits-losing-the-thing.md
a-frames-banned-scope-can-forbid-what-its-own-authorization-requires	DUP	agent/memory/fleet/an-acceptance-property-listing-forbidden-verbs-permits-losing-the-thing.md
a-frames-deliverable-may-already-be-built-by-a-sibling-wp	DROP	single-WP narrative (own-earlier-phase attribution error)
a-frames-either-or-fork-sends-the-ring-to-the-two-places-the-defect-is-not	DROP	single-WP false-dichotomy narrative
a-frames-fixed-inputs-are-an-instrument-that-escapes-the-frames-own-instrument-discipline	DUP	agent/memory/enclave/count-the-population-before-you-place-it-inside-a-mechanism.md
a-frames-retain-list-can-describe-a-branch-that-never-landed	DROP	single-WP narrative; git-ancestry half covered elsewhere
a-frames-scope-ban-can-encode-a-diagnosis-and-then-protect-it	DROP	single-node narrative (self-sealing scope ban)
a-frames-would-have-caught-it-claim-must-be-checked-against-the-mechanism-the-frame-proposes	DROP	single-node narrative, too incident-specific
